episode,total_reward,step_count,success,success_rate,duration_s,epsilon,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count,action_8_count,action_9_count,most_used_action,scenario,loss,q_mean,q_max
1,-1746.0,206,0,0.0,151.65,0.995,28,20,23,13,22,12,21,21,27,19,nothing,Escort1,33.451828,-5.481057,0.914198
2,-533.64,115,1,0.5,95.45,0.99003,19,11,11,16,10,8,6,15,7,12,nothing,LandStrike 1,34.352901,-7.170415,4.364619
3,-350.2,29,0,0.3333,26.45,0.98507,5,3,2,3,2,1,3,3,3,4,nothing,Escort2,63.731892,-7.332674,2.136792
4,-706.0,72,0,0.25,64.81,0.98015,7,4,10,6,7,12,8,6,11,1,attack_slot_2,Escort1,111.074654,-7.023462,1.911013
5,-782.2,96,0,0.2,69.13,0.97525,13,13,10,7,7,7,10,10,8,11,nothing,Escort1,108.961311,-7.026463,2.318951
6,-376.2,32,0,0.1667,30.56,0.97037,2,2,7,5,3,4,0,3,3,3,move_to_ally,Escort2,108.792137,-6.701814,2.428946
7,-514.582,83,1,0.2857,69.57,0.96552,8,9,6,10,5,9,11,10,4,11,attack_slot_3,Escort1,129.145035,-6.702847,4.825048
8,-1273.9,217,1,0.375,162.04,0.96069,18,28,19,35,18,19,15,25,20,20,attack_slot_0,LandStrike 1,143.551392,-6.798913,10.237641
9,-731.3,88,0,0.3333,68.88,0.95589,4,12,6,17,9,9,9,7,8,7,attack_slot_0,Escort1,120.296394,-6.663472,10.44608
10,-1559.735,226,1,0.4,212.34,0.95111,30,17,14,29,25,20,26,29,22,14,nothing,LandStrike 1,126.097176,-5.756764,11.747681
11,-2299.301,308,0,0.3636,245.16,0.94635,30,35,27,26,34,26,30,39,30,31,radar_on,LandStrike 1,94.103119,-5.699186,12.587521
12,-281.8,25,0,0.3333,31.42,0.94162,4,1,3,4,2,1,1,5,1,3,radar_on,Escort2,66.212738,-5.858761,11.553384
13,-643.6,78,0,0.3077,81.48,0.93691,7,6,5,11,5,9,7,11,7,10,attack_slot_0,Escort1,81.787384,-4.683411,23.568876
14,-2316.001,297,0,0.2857,229.69,0.93223,18,32,30,35,25,41,26,35,33,22,attack_slot_2,LandStrike 1,102.542839,-4.581937,21.965685
15,-884.64,135,1,0.3333,117.26,0.92757,13,15,12,12,12,15,16,20,14,6,radar_on,LandStrike 1,96.852646,-4.665755,19.066418
16,-486.976,76,1,0.375,64.83,0.92293,9,8,6,10,6,11,8,8,6,4,attack_slot_2,Escort1,73.151794,-3.732384,19.991913
17,-390.0,35,0,0.3529,27.36,0.91832,3,6,4,3,0,3,5,6,2,3,move_random,Escort2,77.522499,-3.75293,19.105394
18,-301.2,23,0,0.3333,24.34,0.91372,3,1,3,3,3,2,2,4,2,0,radar_on,Escort1,73.661842,-3.573612,15.111128
19,-1027.909,165,1,0.3684,138.72,0.90916,13,16,19,17,10,19,17,23,21,10,radar_on,LandStrike 1,97.052856,-2.852669,18.197306
20,-258.7,22,0,0.35,24.32,0.90461,2,3,0,5,1,2,2,5,2,0,attack_slot_0,Escort1,145.50589,-2.891508,14.571259
21,-639.1,81,0,0.3333,68.82,0.90009,9,7,5,17,9,7,6,7,8,6,attack_slot_0,Escort1,110.449554,-2.5222,17.20434
22,-681.6,71,0,0.3182,63.77,0.89559,6,3,8,11,5,10,10,10,6,2,attack_slot_0,Escort1,161.865402,-2.054596,15.041666
23,-1949.34,268,1,0.3478,228.55,0.89111,22,21,27,31,32,26,29,30,29,21,attack_slot_1,LandStrike 1,104.046303,-1.936862,15.258073
24,-419.0,34,0,0.3333,28.35,0.88665,4,5,3,2,2,7,2,3,3,3,attack_slot_2,Escort2,94.78936,-1.855821,14.194756
25,-940.072,172,1,0.36,150.77,0.88222,20,10,19,17,21,8,15,34,22,6,radar_on,LandStrike 1,103.726494,-1.090957,15.87307
26,-285.9,28,0,0.3462,24.36,0.87781,2,5,2,4,1,3,0,3,4,4,move_random,Escort1,178.646133,-1.024217,14.077406
27,-355.1,29,0,0.3333,27.34,0.87342,1,3,4,4,5,2,2,3,4,1,attack_slot_1,Escort2,145.542831,-0.871635,14.983932
28,-352.0,31,0,0.3214,24.39,0.86905,3,1,7,2,2,3,3,3,3,4,move_to_ally,Escort2,122.514725,-0.290557,16.201031
29,-679.3,88,0,0.3103,68.95,0.86471,9,8,9,10,10,6,7,14,7,8,radar_on,Escort1,143.24115,-0.259746,16.250191
